Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
36,38,5,6,30,33,29,Train/14/00014_00021_00006.png
69,71,6,7,63,65,29,Train/14/00014_00023_00022.png
81,82,7,8,74,75,29,Train/14/00014_00023_00025.png
38,39,6,6,33,34,29,Train/14/00014_00009_00010.png
32,32,6,6,27,27,29,Train/14/00014_00007_00000.png
30,34,5,6,25,29,29,Train/14/00014_00025_00009.png
72,71,7,6,66,65,29,Train/14/00014_00000_00015.png
31,32,5,5,25,27,29,Train/14/00014_00009_00005.png
77,76,7,6,71,70,29,Train/14/00014_00023_00024.png
52,52,5,5,47,47,29,Train/14/00014_00007_00014.png
36,41,5,6,31,36,29,Train/14/00014_00008_00007.png
81,81,7,8,74,74,29,Train/14/00014_00016_00023.png
52,52,6,6,47,47,29,Train/14/00014_00023_00014.png
105,106,10,10,96,97,29,Train/14/00014_00004_00024.png
94,97,8,9,86,89,29,Train/14/00014_00004_00023.png
44,46,5,6,39,41,29,Train/14/00014_00011_00007.png
92,99,9,9,84,91,29,Train/14/00014_00014_00020.png
70,72,7,7,64,66,29,Train/14/00014_00003_00017.png
51,53,6,6,46,47,32,Train/9/00009_00030_00024.png
57,56,6,6,51,51,32,Train/9/00009_00042_00017.png
43,42,5,5,38,37,32,Train/9/00009_00000_00015.png
28,28,5,5,23,23,32,Train/9/00009_00006_00001.png
30,31,6,6,25,26,32,Train/9/00009_00020_00010.png
119,117,11,10,109,106,32,Train/9/00009_00001_00029.png
84,84,8,8,77,76,32,Train/9/00009_00044_00027.png
45,45,6,5,40,40,32,Train/9/00009_00040_00014.png
32,33,5,6,26,28,32,Train/9/00009_00031_00015.png
53,53,6,6,48,48,32,Train/9/00009_00036_00017.png
41,41,5,5,36,36,32,Train/9/00009_00039_00024.png
31,33,5,5,25,28,32,Train/9/00009_00045_00001.png
41,41,5,5,36,36,32,Train/9/00009_00039_00003.png
30,28,6,6,25,23,32,Train/9/00009_00033_00002.png
69,69,6,6,63,63,32,Train/9/00009_00009_00024.png
112,120,9,11,103,110,32,Train/9/00009_00012_00028.png
49,49,5,5,44,44,32,Train/9/00009_00028_00008.png
39,40,6,6,33,34,32,Train/9/00009_00031_00023.png
39,39,5,5,34,34,32,Train/9/00009_00013_00010.png
34,34,6,5,29,29,32,Train/9/00009_00035_00005.png
127,125,11,11,116,115,32,Train/9/00009_00036_00028.png
45,42,6,5,40,37,32,Train/9/00009_00007_00018.png
43,43,5,5,38,38,32,Train/9/00009_00015_00010.png
35,34,5,5,29,29,32,Train/9/00009_00048_00014.png
65,59,6,5,60,53,32,Train/9/00009_00046_00016.png
60,55,6,6,55,50,45,Train/29/00029_00006_00022.png
48,45,6,5,43,40,45,Train/29/00029_00006_00018.png
53,50,5,6,48,45,45,Train/29/00029_00004_00018.png
63,62,5,6,57,56,45,Train/29/00029_00007_00021.png
43,40,5,6,38,35,45,Train/29/00029_00002_00010.png
59,53,6,6,54,48,45,Train/29/00029_00005_00019.png
164,149,14,13,150,137,45,Train/29/00029_00001_00029.png
71,64,6,6,65,59,45,Train/29/00029_00006_00024.png
38,38,5,5,33,33,45,Train/29/00029_00004_00004.png
61,55,5,6,56,50,45,Train/29/00029_00005_00020.png
38,38,5,5,33,32,45,Train/29/00029_00006_00013.png
39,36,6,5,34,31,45,Train/29/00029_00008_00000.png
33,32,6,5,28,27,45,Train/29/00029_00007_00001.png
39,39,6,6,34,34,45,Train/29/00029_00004_00003.png
54,96,6,8,49,87,45,Train/29/00029_00000_00023.png
74,68,6,6,68,62,45,Train/29/00029_00006_00025.png
45,38,6,6,40,32,45,Train/29/00029_00003_00002.png
50,46,5,5,45,41,45,Train/29/00029_00008_00010.png
39,39,6,6,34,34,45,Train/29/00029_00004_00002.png
34,36,5,6,29,30,45,Train/29/00029_00007_00003.png
44,39,6,6,39,34,45,Train/29/00029_00005_00011.png
57,55,6,5,52,49,45,Train/29/00029_00004_00020.png
54,49,6,6,49,44,45,Train/29/00029_00003_00013.png
52,48,5,5,47,43,45,Train/29/00029_00004_00015.png
137,124,12,10,126,113,45,Train/29/00029_00001_00028.png
35,35,5,5,30,30,35,Train/0/00000_00002_00011.png
43,43,5,6,38,37,35,Train/0/00000_00005_00017.png
31,31,6,6,26,26,35,Train/0/00000_00001_00003.png
69,70,7,6,63,64,35,Train/0/00000_00002_00024.png
72,75,7,6,65,68,35,Train/0/00000_00004_00015.png
31,32,5,6,26,27,35,Train/0/00000_00002_00008.png
55,59,6,6,50,54,35,Train/0/00000_00004_00000.png
39,41,5,6,34,35,35,Train/0/00000_00001_00017.png
56,60,5,5,51,55,35,Train/0/00000_00004_00002.png
92,95,8,9,84,87,35,Train/0/00000_00002_00027.png
37,39,5,5,32,34,35,Train/0/00000_00006_00004.png
63,68,6,6,57,62,35,Train/0/00000_00004_00007.png
75,81,6,7,69,74,35,Train/0/00000_00006_00023.png
59,59,6,6,54,54,35,Train/0/00000_00002_00022.png
74,80,6,8,67,73,35,Train/0/00000_00004_00017.png
81,88,7,8,74,80,35,Train/0/00000_00004_00022.png
40,41,5,6,35,36,35,Train/0/00000_00001_00018.png
85,87,8,7,77,80,35,Train/0/00000_00006_00025.png
76,80,7,7,69,72,35,Train/0/00000_00004_00018.png
45,44,5,6,40,39,35,Train/0/00000_00005_00018.png
95,100,9,9,87,92,35,Train/0/00000_00004_00027.png
71,65,7,5,64,59,35,Train/0/00000_00005_00025.png
59,62,6,5,54,57,35,Train/0/00000_00004_00004.png
59,66,5,6,54,60,35,Train/0/00000_00004_00006.png
49,47,5,5,44,42,35,Train/0/00000_00005_00020.png
75,86,6,8,69,79,35,Train/1/00001_00055_00022.png
34,33,6,5,29,28,35,Train/1/00001_00049_00003.png
31,33,5,6,26,28,35,Train/1/00001_00038_00008.png
53,51,6,5,47,46,35,Train/1/00001_00073_00013.png
41,41,6,6,36,36,35,Train/1/00001_00071_00006.png
70,70,6,6,64,64,35,Train/1/00001_00049_00025.png
33,34,6,5,28,29,35,Train/1/00001_00061_00001.png
72,71,6,6,66,65,35,Train/1/00001_00063_00025.png
46,46,5,5,41,41,35,Train/1/00001_00057_00021.png
63,63,6,5,58,57,35,Train/1/00001_00016_00023.png
92,91,9,8,84,83,35,Train/1/00001_00047_00027.png
40,40,5,6,35,35,35,Train/1/00001_00025_00017.png
45,48,5,6,40,42,35,Train/1/00001_00012_00018.png
32,32,5,5,27,27,35,Train/1/00001_00027_00007.png
72,91,6,8,66,83,35,Train/1/00001_00030_00025.png
29,31,5,6,24,26,35,Train/1/00001_00038_00005.png
36,36,6,6,31,31,35,Train/1/00001_00072_00001.png
31,30,6,5,26,25,35,Train/1/00001_00025_00008.png
39,37,6,5,34,31,35,Train/1/00001_00050_00004.png
48,49,5,6,43,44,35,Train/1/00001_00040_00015.png
39,38,6,6,34,33,35,Train/1/00001_00054_00002.png
52,50,6,6,47,45,35,Train/1/00001_00058_00017.png
52,51,6,5,47,46,35,Train/1/00001_00004_00005.png
28,34,6,5,23,29,35,Train/1/00001_00030_00001.png
97,94,9,8,89,86,35,Train/1/00001_00058_00027.png
48,47,6,5,43,42,35,Train/2/00002_00029_00014.png
50,48,6,5,44,42,35,Train/2/00002_00009_00010.png
43,42,6,5,38,37,35,Train/2/00002_00005_00016.png
33,31,6,5,28,26,35,Train/2/00002_00058_00015.png
36,37,5,6,30,32,35,Train/2/00002_00004_00013.png
96,95,9,8,88,86,35,Train/2/00002_00015_00023.png
39,41,5,5,34,35,35,Train/2/00002_00019_00013.png
42,42,6,6,37,37,35,Train/2/00002_00056_00015.png
39,39,6,6,34,34,35,Train/2/00002_00055_00014.png
29,30,5,5,24,25,35,Train/2/00002_00069_00005.png
39,41,5,6,34,36,35,Train/2/00002_00065_00000.png
43,46,5,5,38,41,35,Train/2/00002_00013_00025.png
46,47,6,5,41,42,35,Train/2/00002_00047_00028.png
45,45,6,5,40,40,35,Train/2/00002_00005_00018.png
29,29,5,5,23,24,35,Train/2/00002_00043_00007.png
39,41,6,6,34,36,35,Train/2/00002_00021_00017.png
42,45,5,5,37,40,35,Train/2/00002_00041_00023.png
52,54,5,5,47,49,35,Train/2/00002_00015_00004.png
29,28,6,6,24,23,35,Train/2/00002_00010_00005.png
41,42,5,6,36,37,35,Train/2/00002_00028_00018.png
53,53,5,6,48,48,35,Train/2/00002_00003_00009.png
67,68,6,6,61,62,35,Train/2/00002_00003_00025.png
26,26,6,6,21,21,35,Train/2/00002_00071_00000.png
40,40,6,6,35,35,35,Train/2/00002_00023_00019.png
111,108,9,10,102,99,35,Train/2/00002_00052_00026.png
40,42,6,5,35,37,35,Train/3/00003_00027_00020.png
30,32,5,6,25,27,35,Train/3/00003_00022_00008.png
48,51,5,6,43,46,35,Train/3/00003_00021_00020.png
40,39,6,5,34,34,35,Train/3/00003_00000_00016.png
35,35,6,6,30,30,35,Train/3/00003_00045_00009.png
53,55,5,6,48,50,35,Train/3/00003_00024_00028.png
47,48,6,5,42,43,35,Train/3/00003_00039_00020.png
37,38,5,5,32,33,35,Train/3/00003_00042_00013.png
32,33,5,6,26,27,35,Train/3/00003_00005_00004.png
31,34,5,6,26,29,35,Train/3/00003_00043_00014.png
31,32,5,5,26,27,35,Train/3/00003_00044_00010.png
47,47,6,5,42,42,35,Train/3/00003_00014_00027.png
29,29,6,6,24,24,35,Train/3/00003_00023_00002.png
31,34,5,6,25,28,35,Train/3/00003_00035_00006.png
30,29,5,5,25,24,35,Train/3/00003_00029_00006.png
33,32,6,5,28,27,35,Train/3/00003_00000_00011.png
46,47,5,6,41,42,35,Train/3/00003_00025_00020.png
94,104,9,9,85,94,35,Train/3/00003_00032_00025.png
33,32,6,6,27,27,35,Train/3/00003_00014_00009.png
36,34,5,6,30,29,35,Train/3/00003_00046_00013.png
26,27,5,5,21,22,35,Train/3/00003_00033_00001.png
26,27,6,6,21,22,35,Train/3/00003_00028_00000.png
46,46,6,6,41,41,35,Train/3/00003_00023_00018.png
29,31,5,5,24,26,35,Train/3/00003_00021_00001.png
30,31,5,5,25,26,35,Train/3/00003_00028_00010.png
85,85,7,8,78,78,35,Train/4/00004_00042_00029.png
58,58,5,5,53,53,35,Train/4/00004_00062_00027.png
51,52,5,5,46,46,35,Train/4/00004_00042_00023.png
43,42,5,5,38,37,35,Train/4/00004_00026_00010.png
69,69,6,7,62,62,35,Train/4/00004_00042_00027.png
31,34,5,5,25,28,35,Train/4/00004_00016_00008.png
44,44,5,6,39,39,35,Train/4/00004_00064_00021.png
63,63,5,5,58,58,35,Train/4/00004_00039_00022.png
53,53,5,5,48,48,35,Train/4/00004_00000_00013.png
31,30,6,5,25,25,35,Train/4/00004_00010_00006.png
36,35,6,5,31,30,35,Train/4/00004_00007_00014.png
61,62,6,6,56,57,35,Train/4/00004_00041_00027.png
35,34,6,5,30,29,35,Train/4/00004_00034_00009.png
30,29,6,5,24,24,35,Train/4/00004_00050_00005.png
34,35,6,5,29,29,35,Train/4/00004_00017_00011.png
33,32,6,5,28,27,35,Train/4/00004_00019_00000.png
42,42,6,6,37,37,35,Train/4/00004_00062_00015.png
50,51,5,6,45,46,35,Train/4/00004_00039_00018.png
34,35,6,6,29,30,35,Train/4/00004_00006_00009.png
57,58,5,5,52,53,35,Train/4/00004_00034_00027.png
44,45,5,6,39,40,35,Train/4/00004_00009_00019.png
38,39,5,6,33,34,35,Train/4/00004_00054_00004.png
34,36,5,6,28,30,35,Train/4/00004_00065_00014.png
39,41,5,6,34,36,35,Train/4/00004_00026_00003.png
34,31,6,5,29,26,35,Train/4/00004_00055_00002.png
36,36,5,5,31,31,35,Train/5/00005_00007_00010.png
72,71,7,6,66,65,35,Train/5/00005_00009_00024.png
47,51,6,6,42,46,35,Train/5/00005_00055_00025.png
31,27,6,5,25,22,35,Train/5/00005_00026_00003.png
57,56,5,6,52,51,35,Train/5/00005_00029_00027.png
52,53,5,6,47,48,35,Train/5/00005_00023_00023.png
36,38,5,6,31,33,35,Train/5/00005_00038_00015.png
31,33,5,6,26,28,35,Train/5/00005_00010_00003.png
63,65,5,6,58,60,35,Train/5/00005_00021_00028.png
32,33,5,5,27,28,35,Train/5/00005_00048_00006.png
44,45,5,6,39,40,35,Train/5/00005_00022_00017.png
33,33,5,5,28,28,35,Train/5/00005_00057_00010.png
54,51,6,6,49,46,35,Train/5/00005_00027_00022.png
31,32,5,5,26,26,35,Train/5/00005_00061_00012.png
27,26,6,6,22,21,35,Train/5/00005_00003_00000.png
45,45,5,6,39,39,35,Train/5/00005_00036_00019.png
35,36,5,6,30,31,35,Train/5/00005_00018_00018.png
36,35,5,5,31,30,35,Train/5/00005_00054_00013.png
39,38,6,5,34,33,35,Train/5/00005_00028_00012.png
37,39,5,5,31,34,35,Train/5/00005_00044_00010.png
50,50,5,5,45,45,35,Train/5/00005_00006_00017.png
28,29,5,6,23,24,35,Train/5/00005_00018_00003.png
47,48,6,6,41,43,35,Train/5/00005_00041_00021.png
69,68,7,6,63,62,35,Train/5/00005_00006_00023.png
45,40,6,5,40,35,35,Train/5/00005_00037_00024.png
32,32,5,6,26,27,35,Train/7/00007_00021_00008.png
38,37,6,5,33,32,35,Train/7/00007_00011_00006.png
42,44,5,6,37,39,35,Train/7/00007_00027_00020.png
30,31,6,6,25,26,35,Train/7/00007_00018_00007.png
40,40,6,6,35,35,35,Train/7/00007_00017_00016.png
48,50,5,5,43,45,35,Train/7/00007_00034_00023.png
38,39,5,5,33,34,35,Train/7/00007_00018_00017.png
56,60,5,5,51,55,35,Train/7/00007_00015_00023.png
44,44,6,5,39,39,35,Train/7/00007_00027_00021.png
30,31,5,6,25,26,35,Train/7/00007_00023_00006.png
71,68,7,6,65,62,35,Train/7/00007_00042_00026.png
49,49,6,6,44,44,35,Train/7/00007_00004_00018.png
30,30,6,5,24,24,35,Train/7/00007_00026_00008.png
38,40,6,6,33,35,35,Train/7/00007_00028_00018.png
60,62,5,6,55,57,35,Train/7/00007_00021_00027.png
43,44,5,6,38,39,35,Train/7/00007_00014_00010.png
34,34,6,6,29,29,35,Train/7/00007_00003_00005.png
39,40,5,6,34,35,35,Train/7/00007_00007_00013.png
47,46,6,5,42,41,35,Train/7/00007_00039_00020.png
34,33,6,5,29,28,35,Train/7/00007_00017_00007.png
41,40,6,5,36,35,35,Train/7/00007_00030_00025.png
85,83,8,8,78,76,35,Train/7/00007_00042_00028.png
33,33,6,5,28,28,35,Train/7/00007_00037_00011.png
34,33,6,5,29,28,35,Train/7/00007_00010_00004.png
37,36,6,5,32,31,35,Train/7/00007_00027_00014.png
31,32,6,5,26,26,35,Train/8/00008_00034_00001.png
44,44,6,6,39,39,35,Train/8/00008_00008_00020.png
33,31,6,5,27,26,35,Train/8/00008_00035_00004.png
42,41,6,5,37,36,35,Train/8/00008_00019_00012.png
36,36,5,6,31,31,35,Train/8/00008_00030_00019.png
61,61,6,5,56,56,35,Train/8/00008_00014_00024.png
46,47,5,6,41,42,35,Train/8/00008_00041_00021.png
30,31,5,6,25,26,35,Train/8/00008_00040_00000.png
42,43,5,6,37,38,35,Train/8/00008_00008_00017.png
35,34,5,5,30,28,35,Train/8/00008_00021_00015.png
32,32,6,6,27,27,35,Train/8/00008_00036_00000.png
65,64,6,5,60,59,35,Train/8/00008_00035_00029.png
38,40,5,6,33,35,35,Train/8/00008_00018_00010.png
34,35,6,6,29,30,35,Train/8/00008_00005_00008.png
30,30,5,5,25,25,35,Train/8/00008_00040_00002.png
46,45,5,5,41,40,35,Train/8/00008_00004_00020.png
57,58,5,6,52,53,35,Train/8/00008_00035_00026.png
47,47,5,5,42,42,35,Train/8/00008_00006_00023.png
33,30,6,6,27,25,35,Train/8/00008_00015_00003.png
53,56,5,6,48,51,35,Train/8/00008_00014_00021.png
32,35,6,5,27,30,35,Train/8/00008_00018_00001.png
47,48,5,5,41,43,35,Train/8/00008_00044_00021.png
40,41,5,6,35,36,35,Train/8/00008_00041_00014.png
26,28,5,6,21,23,35,Train/8/00008_00026_00002.png
81,81,8,8,74,74,35,Train/8/00008_00011_00028.png
40,44,6,5,35,39,59,Train/12/00012_00025_00012.png
38,38,5,5,33,33,59,Train/12/00012_00001_00012.png
41,40,6,5,36,35,59,Train/12/00012_00035_00008.png
42,41,5,5,37,36,59,Train/12/00012_00012_00012.png
35,36,5,6,30,30,59,Train/12/00012_00016_00013.png
47,48,6,6,42,43,59,Train/12/00012_00035_00017.png
44,45,5,6,39,40,59,Train/12/00012_00060_00008.png
29,30,6,6,24,25,59,Train/12/00012_00064_00001.png
33,37,5,5,27,31,59,Train/12/00012_00000_00011.png
62,62,6,6,56,57,59,Train/12/00012_00006_00016.png
34,33,6,5,29,28,59,Train/12/00012_00014_00000.png
31,32,5,6,26,27,59,Train/12/00012_00018_00003.png
55,47,6,5,50,42,59,Train/12/00012_00053_00015.png
57,57,6,6,52,52,59,Train/12/00012_00018_00018.png
42,42,5,5,37,37,59,Train/12/00012_00040_00009.png
37,34,5,5,32,29,59,Train/12/00012_00014_00009.png
30,27,6,6,25,22,59,Train/12/00012_00004_00003.png
38,40,5,6,33,35,59,Train/12/00012_00003_00008.png
65,71,6,7,60,65,59,Train/12/00012_00064_00023.png
44,43,5,5,39,38,59,Train/12/00012_00009_00016.png
55,56,5,6,50,51,59,Train/12/00012_00026_00022.png
42,42,5,5,37,37,59,Train/12/00012_00040_00007.png
36,40,5,5,31,35,59,Train/12/00012_00061_00003.png
95,97,8,8,87,89,59,Train/12/00012_00003_00028.png
61,64,6,6,56,59,59,Train/12/00012_00069_00015.png
